frame,track_id_a,track_id_b,cost_px,status
0,1,1,34.8,matched
0,2,3,670.2,rejected_too_far
0,3,2,13.7,matched
1,1,1,20.7,matched
1,3,2,8.5,matched
1,2,,,unmatched_a_extra
2,1,1,9.5,matched
2,2,3,675.7,rejected_too_far
2,3,2,14.8,matched
3,1,1,26.1,matched
3,3,2,12.0,matched
3,2,,,unmatched_a_extra
4,1,1,24.9,matched
4,2,3,673.5,rejected_too_far
4,3,2,13.7,matched
5,1,1,16.5,matched
5,3,2,13.3,matched
5,2,,,unmatched_a_extra
6,1,1,27.8,matched
6,3,2,17.3,matched
6,2,,,unmatched_a_extra
7,1,1,32.7,matched
7,3,2,19.5,matched
7,2,,,unmatched_a_extra
8,1,1,35.1,matched
8,2,3,672.1,rejected_too_far
8,3,2,15.1,matched
9,1,1,28.1,matched
9,3,2,10.6,matched
9,2,,,unmatched_a_extra
10,1,1,41.6,matched
10,3,2,14.8,matched
10,2,,,unmatched_a_extra
11,1,1,52.1,matched
11,3,2,12.5,matched
11,2,,,unmatched_a_extra
11,5,,,unmatched_a_extra
12,1,1,51.4,matched
12,3,2,8.9,matched
12,2,,,unmatched_a_extra
12,5,,,unmatched_a_extra
13,1,1,35.4,matched
13,3,2,10.6,matched
13,2,,,unmatched_a_extra
13,5,,,unmatched_a_extra
14,1,1,41.3,matched
14,3,2,10.3,matched
14,2,,,unmatched_a_extra
14,5,,,unmatched_a_extra
15,1,1,46.9,matched
15,3,2,13.9,matched
15,2,,,unmatched_a_extra
15,5,,,unmatched_a_extra
16,1,1,54.7,matched
16,3,2,12.6,matched
16,2,,,unmatched_a_extra
16,5,,,unmatched_a_extra
17,1,1,34.0,matched
17,3,2,3.7,matched
17,2,,,unmatched_a_extra
17,5,,,unmatched_a_extra
18,1,1,32.8,matched
18,2,2,446.2,rejected_too_far
18,5,,,unmatched_a_extra
18,9,,,unmatched_a_extra
19,1,1,33.4,matched
19,2,2,444.2,rejected_too_far
19,5,,,unmatched_a_extra
19,9,,,unmatched_a_extra
20,1,1,32.9,matched
20,2,2,441.3,rejected_too_far
20,5,,,unmatched_a_extra
20,9,,,unmatched_a_extra
21,1,1,31.7,matched
21,2,4,45.1,matched
21,5,5,375.9,rejected_too_far
21,9,2,713.8,rejected_too_far
22,1,1,25.2,matched
22,2,5,34.7,matched
22,9,2,716.7,rejected_too_far
22,5,,,unmatched_a_extra
23,1,1,24.1,matched
23,2,5,33.5,matched
23,9,2,712.0,rejected_too_far
23,5,,,unmatched_a_extra
24,1,1,30.5,matched
24,5,5,369.9,rejected_too_far
24,9,2,696.2,rejected_too_far
25,1,1,30.2,matched
25,9,5,346.8,rejected_too_far
25,15,2,28.0,matched
25,5,,,unmatched_a_extra
26,1,1,28.8,matched
26,5,5,388.6,rejected_too_far
26,9,2,685.7,rejected_too_far
27,1,1,28.3,matched
27,5,5,404.9,rejected_too_far
27,9,2,678.9,rejected_too_far
28,1,1,18.4,matched
28,5,5,402.5,rejected_too_far
28,9,2,655.8,rejected_too_far
29,1,1,14.9,matched
29,9,2,635.1,rejected_too_far
29,18,5,45.8,matched
29,5,,,unmatched_a_extra
30,1,1,11.9,matched
30,5,5,408.8,rejected_too_far
30,9,2,623.7,rejected_too_far
31,1,1,13.0,matched
31,9,2,615.2,rejected_too_far
31,18,5,51.6,matched
31,5,,,unmatched_a_extra
32,1,1,11.0,matched
32,5,5,433.4,rejected_too_far
32,9,2,607.5,rejected_too_far
33,1,2,49.3,matched
33,5,5,434.5,rejected_too_far
33,9,1,548.6,rejected_too_far
34,1,1,4.5,matched
34,19,2,23.3,matched
34,15,5,142.6,matched
34,5,,,unmatched_a_extra
34,9,,,unmatched_a_extra
35,9,5,402.6,rejected_too_far
35,19,2,18.8,matched
35,15,1,21.4,matched
35,5,,,unmatched_a_extra
36,9,5,415.6,rejected_too_far
36,19,2,15.5,matched
36,15,1,17.7,matched
36,5,,,unmatched_a_extra
37,19,2,19.4,matched
37,15,1,15.1,matched
37,1,5,88.9,matched
37,5,,,unmatched_a_extra
37,9,,,unmatched_a_extra
38,19,2,15.8,matched
38,15,1,16.1,matched
38,1,5,67.6,matched
38,5,,,unmatched_a_extra
38,9,,,unmatched_a_extra
39,9,5,408.4,rejected_too_far
39,19,2,11.6,matched
39,1,1,11.6,matched
39,5,,,unmatched_a_extra
40,9,1,472.7,rejected_too_far
40,19,2,9.6,matched
40,20,5,30.6,matched
40,5,,,unmatched_a_extra
41,19,2,4.9,matched
41,20,5,26.9,matched
41,1,1,2.2,matched
41,5,,,unmatched_a_extra
41,9,,,unmatched_a_extra
41,22,,,unmatched_a_extra
42,19,2,2.8,matched
42,20,5,19.5,matched
42,1,1,2.9,matched
42,5,,,unmatched_a_extra
42,9,,,unmatched_a_extra
42,22,,,unmatched_a_extra
43,19,2,1.8,matched
43,1,1,19.2,matched
43,5,,,unmatched_a_extra
43,9,,,unmatched_a_extra
43,20,,,unmatched_a_extra
43,22,,,unmatched_a_extra
44,19,2,9.7,matched
44,20,1,40.1,matched
44,5,,,unmatched_a_extra
44,9,,,unmatched_a_extra
44,22,,,unmatched_a_extra
45,19,2,4.1,matched
45,20,1,29.8,matched
45,5,,,unmatched_a_extra
45,9,,,unmatched_a_extra
45,22,,,unmatched_a_extra
46,19,2,0.8,matched
46,20,5,23.5,matched
46,1,1,3.6,matched
46,5,,,unmatched_a_extra
46,9,,,unmatched_a_extra
46,22,,,unmatched_a_extra
47,19,2,1.6,matched
47,20,5,25.3,matched
47,1,1,8.4,matched
47,5,,,unmatched_a_extra
47,9,,,unmatched_a_extra
47,22,,,unmatched_a_extra
48,9,4,42.1,matched
48,19,2,3.5,matched
48,20,5,25.9,matched
48,1,1,13.4,matched
48,5,,,unmatched_a_extra
48,22,,,unmatched_a_extra
49,9,4,39.8,matched
49,19,2,5.4,matched
49,20,5,11.9,matched
49,1,1,13.8,matched
49,5,,,unmatched_a_extra
49,22,,,unmatched_a_extra
50,9,4,34.3,matched
50,19,2,5.5,matched
50,20,1,58.4,matched
50,5,,,unmatched_a_extra
50,22,,,unmatched_a_extra
51,5,4,22.1,matched
51,19,2,4.5,matched
51,20,1,72.3,matched
51,9,,,unmatched_a_extra
51,22,,,unmatched_a_extra
52,5,1,321.4,rejected_too_far
52,9,5,416.5,rejected_too_far
52,19,2,4.8,matched
52,22,4,343.9,rejected_too_far
53,5,1,315.4,rejected_too_far
53,9,5,419.8,rejected_too_far
53,19,2,5.0,matched
53,22,4,344.0,rejected_too_far
54,5,1,309.4,rejected_too_far
54,9,5,430.5,rejected_too_far
54,19,2,3.9,matched
54,22,4,347.8,rejected_too_far
55,5,1,291.0,rejected_too_far
55,9,5,425.9,rejected_too_far
55,19,2,3.2,matched
55,22,4,353.1,rejected_too_far
56,5,1,280.5,rejected_too_far
56,9,5,422.0,rejected_too_far
56,19,2,6.1,matched
56,22,4,348.5,rejected_too_far
57,5,1,274.5,rejected_too_far
57,9,5,424.7,rejected_too_far
57,19,2,7.9,matched
57,22,4,335.6,rejected_too_far
58,5,1,267.0,rejected_too_far
58,9,5,434.0,rejected_too_far
58,19,2,8.4,matched
58,22,4,332.3,rejected_too_far
59,5,4,33.3,matched
59,9,1,245.1,rejected_too_far
59,19,5,134.9,matched
59,28,2,71.9,matched
59,22,,,unmatched_a_extra
